index;prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
14362;HEAD;SERVER SIDE;0;;;;;;;1.00
14363;HIDDEN TERMINAL PROBLEM;SERVER SIDE;0;;;;;;;1.25
14364;HOP COUNT;SERVER SIDE;0;;;;;;;-1.00
14365;HOT SPOT;SERVER SIDE;0;;;;;;;1.00
14366;HUB;SERVER SIDE;0;;;;;;;1.25
14367;HYPERTEXT;SERVER SIDE;0;;;;;;;0.00
14368;HYPERTEXT DOCUMENT;SERVER SIDE;0;;;;;;;0.00
14369;HYPERTEXT MARKUP LANGUAGE;SERVER SIDE;0;;;;;;;0.00
14370;HYPERTEXT TRANSFER PROTOCOL;SERVER SIDE;0;;;;;;;0.00
14371;HYPERTEXT TRANSFER PROTOCOL SERVER;SERVER SIDE;0;;;;;;;0.00
14372;INSTANT MESSAGING;SERVER SIDE;0;;;;;;;1.00
14373;INTERNET;SERVER SIDE;0;;;;;;;0.00
14374;INTERNET INFRASTRUCTURE;SERVER SIDE;0;;;;;;;0.00
14375;INTERNET MAIL ACCESS PROTOCOL;SERVER SIDE;0;;;;;;;0.00
14376;INTERNET PROTOCOL;SERVER SIDE;0;;;;;;;0.00
14377;INTERNET PROTOCOL ADDRESS;SERVER SIDE;0;;;;;;;0.00
14378;INTERNET PROTOCOL NETWORK;SERVER SIDE;0;;;;;;;0.00
14379;INTERNET SERVICE PROVIDER;SERVER SIDE;0;;;;;;;0.00
14380;INTERNET SOFTWARE;SERVER SIDE;0;;;;;;;0.00
14381;INTERNET2;SERVER SIDE;0;;;;;;;1.00
14382;INTERPROCESS COMMUNICATION;SERVER SIDE;0;;;;;;;1.25
14383;INTRANET;SERVER SIDE;0;;;;;;;0.00
14384;JAVASERVER PAGE;SERVER SIDE;0;;;;;;;0.00
14385;LINK LAYER;SERVER SIDE;0;;;;;;;0.00
14386;LOCAL AREA NETWORK;SERVER SIDE;0;;;;;;;1.00
14387;MAGNETIC DISK;SERVER SIDE;0;;;;;;;1.25
14388;MAIL SERVER;SERVER SIDE;0;;;;;;;0.00
14389;MALICIOUS SOFTWARE;SERVER SIDE;0;;;;;;;-1.00
14390;MASS STORAGE;SERVER SIDE;0;;;;;;;0.00
14391;METROPOLITAN AREA NETWORK;SERVER SIDE;0;;;;;;;1.00
14392;MNEMONIC ADDRESS;SERVER SIDE;0;;;;;;;0.00
14393;MNEMONIC DOMAIN NAME;SERVER SIDE;0;;;;;;;0.00
14394;NAME SERVER;SERVER SIDE;0;;;;;;;0.00
14395;NETWORK;SERVER SIDE;0;;;;;;;0.00
14396;NETWORK LAYER;SERVER SIDE;0;;;;;;;0.00
14397;NETWORK NEWS TRANSFER PROTOCOL;SERVER SIDE;0;;;;;;;1.00
14398;NETWORK SOFTWARE;SERVER SIDE;0;;;;;;;0.00
14399;OPEN NETWORK;SERVER SIDE;0;;;;;;;0.00
14400;PEER-TO-PEER MODEL;SERVER SIDE;0;;;;;;;1.00
14401;PERSONAL AREA NETWORK;SERVER SIDE;0;;;;;;;1.00
14402;PHISHING;SERVER SIDE;0;;;;;;;-1.25
14403;PHONE NETWORK;SERVER SIDE;0;;;;;;;0.00
14404;PHP;SERVER SIDE;0;;;;;;;0.00
14405;PORT NUMBER;SERVER SIDE;0;;;;;;;0.00
14406;POST OFFICE PROTOCOL VERSION 3;SERVER SIDE;0;;;;;;;0.00
14407;PRINT SERVER;SERVER SIDE;0;;;;;;;1.25
14408;PRIVATE-KEY;SERVER SIDE;0;;;;;;;-1.25
14409;PROTOCOL;SERVER SIDE;0;;;;;;;0.00
14410;PROXY SERVER;SERVER SIDE;0;;;;;;;-1.25
14411;PUBLIC-KEY;SERVER SIDE;0;;;;;;;0.00
14412;PUBLIC-KEY ENCRYPTION;SERVER SIDE;0;;;;;;;-1.25
14413;REGISTERED DOMAIN;SERVER SIDE;0;;;;;;;1.00
14414;REMOTE MAIL SERVER;SERVER SIDE;0;;;;;;;0.00
14415;REMOTE SERVER;SERVER SIDE;0;;;;;;;0.00
14416;REPEATER;SERVER SIDE;0;;;;;;;1.25
14417;ROUTER;SERVER SIDE;0;;;;;;;0.00
14418;SECURE SHELL;SERVER SIDE;0;;;;;;;0.00
14419;SECURE SOCKET LAYER;SERVER SIDE;0;;;;;;;-1.25
14420;SERVER;SERVER SIDE;0;;;;;;;0.00
14421;SERVLETS;SERVER SIDE;0;;;;;;;0.00
14422;SIMPLE MAIL TRANSFER PROTOCOL;SERVER SIDE;0;;;;;;;0.00
14423;SOFTWARE;SERVER SIDE;0;;;;;;;0.00
14424;SPYWARE;SERVER SIDE;0;;;;;;;-1.25
14425;STAR;SERVER SIDE;0;;;;;;;0.00
14426;SUBDOMAINS;SERVER SIDE;0;;;;;;;1.00
14427;SWITCH;SERVER SIDE;0;;;;;;;1.00
14428;TAG;SERVER SIDE;0;;;;;;;0.00
14429;TIER-1 INTERNET SERVICE PROVIDER;SERVER SIDE;0;;;;;;;1.00
14430;TIER-2 INTERNET SERVICE PROVIDER;SERVER SIDE;0;;;;;;;1.00
14431;TIER-3 INTERNET SERVICE PROVIDER;SERVER SIDE;0;;;;;;;1.00
14432;TOP-LEVEL DOMAINS;SERVER SIDE;0;;;;;;;1.00
14433;TRADITIONAL TELEPHONE;SERVER SIDE;0;;;;;;;0.00
14434;TRANSMISSION CONTROL PROTOCOL;SERVER SIDE;0;;;;;;;0.00
14435;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;SERVER SIDE;0;;;;;;;0.00
14436;TRANSPORT LAYER;SERVER SIDE;0;;;;;;;0.00
14437;TROJAN HORSE;SERVER SIDE;0;;;;;;;-1.25
14438;UNIFORM RESOURCE LOCATOR;SERVER SIDE;0;;;;;;;0.00
14439;USER DATAGRAM PROTOCOL;SERVER SIDE;0;;;;;;;-1.00
14440;VIRUS;SERVER SIDE;0;;;;;;;-1.25
14441;VOICE OVER INTERNET PROTOCOL;SERVER SIDE;0;;;;;;;0.00
14442;WEBSERVER;SERVER SIDE;0;;;;;;;0.00
14443;WIDE AREA NETWORK;SERVER SIDE;0;;;;;;;0.00
14444;WIRELESS NETWORK;SERVER SIDE;0;;;;;;;1.00
14445;WORLD WIDE WEB;SERVER SIDE;0;;;;;;;0.00
14446;WORM;SERVER SIDE;0;;;;;;;-1.25
14447;SECOND GENERATION;SERVER SIDE;0;;;;;;;0.00
14448;EMAIL;SERVER SIDE;0;;;;;;;0.00
14449;CLIENT-SIDE;SERVER SIDE;0;;;;;;;0.00
14450;SERVER-SIDE;SERVER SIDE;0;;;;;;;0.00
14451;SERVLET;SERVER SIDE;0;;;;;;;0.00
14452;WEBSERVERS;SERVER SIDE;0;;;;;;;0.00
14453;4G;SERVER SIDE;0;;;;;;;1.00
14454;ANTIVIRUS SOFTWARE;SERVER SIDE;0;;;;;;;-1.25
14455;SEARCH ENGINE;SERVER SIDE;0;;;;;;;1.00
14456;WIFI NETWORK;SERVER SIDE;0;;;;;;;0.00
14457;1G;SERVLETS;0;;;;;;;0.50
14458;3G;SERVLETS;0;;;;;;;0.50
14459;ACCESS INTERNET SERVICE PROVIDER;SERVLETS;0;;;;;;;0.00
14460;ACCESS POINT;SERVLETS;0;;;;;;;0.00
14461;ACTIVE SERVER PAGE;SERVLETS;0;;;;;;;0.00
14462;ADDRESSING SYSTEM;SERVLETS;0;;;;;;;0.00
14463;APPLICATION LAYER;SERVLETS;0;;;;;;;0.00
14464;AUDITING SOFTWARE;SERVLETS;0;;;;;;;-1.00
14465;BIT PATTERN;SERVLETS;0;;;;;;;-0.25
14466;BODY;SERVLETS;0;;;;;;;0.50
14467;BRIDGE;SERVLETS;0;;;;;;;1.00
14468;BROWSER;SERVLETS;0;;;;;;;0.00
14469;BUS;SERVLETS;0;;;;;;;0.00
14470;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;SERVLETS;0;;;;;;;0.25
14471;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;SERVLETS;0;;;;;;;0.25
14472;CERTIFICATE;SERVLETS;0;;;;;;;-1.00
14473;CERTIFICATE AUTHORITY;SERVLETS;0;;;;;;;-1.00
14474;CLIENT;SERVLETS;0;;;;;;;0.00
14475;CLIENT SIDE;SERVLETS;0;;;;;;;0.00
14476;CLIENT/SERVER MODEL;SERVLETS;0;;;;;;;1.00
14477;CLOUD COMPUTING;SERVLETS;0;;;;;;;0.75
14478;CLUSTER COMPUTE;SERVLETS;0;;;;;;;1.00
14479;COLLISION AVOIDANCE;SERVLETS;0;;;;;;;0.25
14480;COLLISION DETECTION;SERVLETS;0;;;;;;;0.25
14481;COMPUTER;SERVLETS;0;;;;;;;0.00
14482;COMPUTER SYSTEM;SERVLETS;0;;;;;;;0.00
14483;CONTENT DELIVERY NETWORK;SERVLETS;0;;;;;;;0.50
14484;DENIAL OF SERVICE;SERVLETS;0;;;;;;;-1.00
14485;DIGITAL SIGNATURE;SERVLETS;0;;;;;;;-1.00
14486;DISTRIBUTED SYSTEM;SERVLETS;0;;;;;;;0.00
14487;DOMAIN;SERVLETS;0;;;;;;;0.00
14488;DOMAIN NAME;SERVLETS;0;;;;;;;0.00
14489;DOMAIN NAME SYSTEM;SERVLETS;0;;;;;;;0.00
14490;ENCRYPTION;SERVLETS;0;;;;;;;-1.00
14491;END SYSTEM;SERVLETS;0;;;;;;;0.00
14492;END USER;SERVLETS;0;;;;;;;0.00
14493;ETHERNET NETWORK;SERVLETS;0;;;;;;;0.00
14494;EXTENSIBLE MARKUP LANGUAGE;SERVLETS;0;;;;;;;0.00
14495;FILE SERVER;SERVLETS;0;;;;;;;0.00
14496;FILE TRANSFER PROTOCOL;SERVLETS;0;;;;;;;0.00
14497;FIREWALL;SERVLETS;0;;;;;;;-1.00
14498;FORWARDING TABLE;SERVLETS;0;;;;;;;0.00
14499;GATEWAY;SERVLETS;0;;;;;;;0.00
14500;GRID COMPUTE;SERVLETS;0;;;;;;;1.00
14501;HEAD;SERVLETS;0;;;;;;;1.00
14502;HIDDEN TERMINAL PROBLEM;SERVLETS;0;;;;;;;1.00
14503;HOP COUNT;SERVLETS;0;;;;;;;-0.75
14504;HOT SPOT;SERVLETS;0;;;;;;;0.50
14505;HUB;SERVLETS;0;;;;;;;1.00
14506;HYPERTEXT;SERVLETS;0;;;;;;;0.00
14507;HYPERTEXT DOCUMENT;SERVLETS;0;;;;;;;0.00
14508;HYPERTEXT MARKUP LANGUAGE;SERVLETS;0;;;;;;;0.00
14509;HYPERTEXT TRANSFER PROTOCOL;SERVLETS;0;;;;;;;0.00
14510;HYPERTEXT TRANSFER PROTOCOL SERVER;SERVLETS;0;;;;;;;0.00
14511;INSTANT MESSAGING;SERVLETS;0;;;;;;;0.75
14512;INTERNET;SERVLETS;0;;;;;;;0.00
14513;INTERNET INFRASTRUCTURE;SERVLETS;0;;;;;;;0.00
14514;INTERNET MAIL ACCESS PROTOCOL;SERVLETS;0;;;;;;;0.00
14515;INTERNET PROTOCOL;SERVLETS;0;;;;;;;0.00
14516;INTERNET PROTOCOL ADDRESS;SERVLETS;0;;;;;;;0.00
14517;INTERNET PROTOCOL NETWORK;SERVLETS;0;;;;;;;0.00
14518;INTERNET SERVICE PROVIDER;SERVLETS;0;;;;;;;0.00
14519;INTERNET SOFTWARE;SERVLETS;0;;;;;;;0.00
14520;INTERNET2;SERVLETS;0;;;;;;;0.50
14521;INTERPROCESS COMMUNICATION;SERVLETS;0;;;;;;;1.00
14522;INTRANET;SERVLETS;0;;;;;;;-0.25
14523;JAVASERVER PAGE;SERVLETS;0;;;;;;;0.00
14524;LINK LAYER;SERVLETS;0;;;;;;;0.00
14525;LOCAL AREA NETWORK;SERVLETS;0;;;;;;;0.75
14526;MAGNETIC DISK;SERVLETS;0;;;;;;;1.00
14527;MAIL SERVER;SERVLETS;0;;;;;;;0.00
14528;MALICIOUS SOFTWARE;SERVLETS;0;;;;;;;-1.00
14529;MASS STORAGE;SERVLETS;0;;;;;;;0.00
14530;METROPOLITAN AREA NETWORK;SERVLETS;0;;;;;;;0.75
14531;MNEMONIC ADDRESS;SERVLETS;0;;;;;;;0.00
14532;MNEMONIC DOMAIN NAME;SERVLETS;0;;;;;;;0.00
14533;NAME SERVER;SERVLETS;0;;;;;;;0.00
14534;NETWORK;SERVLETS;0;;;;;;;0.00
14535;NETWORK LAYER;SERVLETS;0;;;;;;;0.00
14536;NETWORK NEWS TRANSFER PROTOCOL;SERVLETS;0;;;;;;;0.50
14537;NETWORK SOFTWARE;SERVLETS;0;;;;;;;0.00
14538;OPEN NETWORK;SERVLETS;0;;;;;;;0.00
14539;PEER-TO-PEER MODEL;SERVLETS;0;;;;;;;0.75
14540;PERSONAL AREA NETWORK;SERVLETS;0;;;;;;;0.75
14541;PHISHING;SERVLETS;0;;;;;;;-1.00
14542;PHONE NETWORK;SERVLETS;0;;;;;;;0.00
14543;PHP;SERVLETS;0;;;;;;;0.00
14544;PORT NUMBER;SERVLETS;0;;;;;;;0.00
14545;POST OFFICE PROTOCOL VERSION 3;SERVLETS;0;;;;;;;0.00
14546;PRINT SERVER;SERVLETS;0;;;;;;;1.00
14547;PRIVATE-KEY;SERVLETS;0;;;;;;;-1.00
14548;PROTOCOL;SERVLETS;0;;;;;;;0.00
14549;PROXY SERVER;SERVLETS;0;;;;;;;-1.00
14550;PUBLIC-KEY;SERVLETS;0;;;;;;;-0.25
14551;PUBLIC-KEY ENCRYPTION;SERVLETS;0;;;;;;;-1.00
14552;REGISTERED DOMAIN;SERVLETS;0;;;;;;;0.50
14553;REMOTE MAIL SERVER;SERVLETS;0;;;;;;;0.00
14554;REMOTE SERVER;SERVLETS;0;;;;;;;0.00
14555;REPEATER;SERVLETS;0;;;;;;;1.00
14556;ROUTER;SERVLETS;0;;;;;;;0.00
14557;SECURE SHELL;SERVLETS;0;;;;;;;0.00
14558;SECURE SOCKET LAYER;SERVLETS;0;;;;;;;-1.00
14559;SERVER;SERVLETS;0;;;;;;;0.00
14560;SERVER SIDE;SERVLETS;0;;;;;;;0.00
14561;SIMPLE MAIL TRANSFER PROTOCOL;SERVLETS;0;;;;;;;0.00
14562;SOFTWARE;SERVLETS;0;;;;;;;0.00
14563;SPYWARE;SERVLETS;0;;;;;;;-1.00
14564;STAR;SERVLETS;0;;;;;;;0.00
14565;SUBDOMAINS;SERVLETS;0;;;;;;;0.50
14566;SWITCH;SERVLETS;0;;;;;;;0.75
14567;TAG;SERVLETS;0;;;;;;;0.00
14568;TIER-1 INTERNET SERVICE PROVIDER;SERVLETS;0;;;;;;;0.50
14569;TIER-2 INTERNET SERVICE PROVIDER;SERVLETS;0;;;;;;;0.50
14570;TIER-3 INTERNET SERVICE PROVIDER;SERVLETS;0;;;;;;;0.50
14571;TOP-LEVEL DOMAINS;SERVLETS;0;;;;;;;0.50
14572;TRADITIONAL TELEPHONE;SERVLETS;0;;;;;;;0.00
14573;TRANSMISSION CONTROL PROTOCOL;SERVLETS;0;;;;;;;0.00
14574;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;SERVLETS;0;;;;;;;0.00
14575;TRANSPORT LAYER;SERVLETS;0;;;;;;;0.00
14576;TROJAN HORSE;SERVLETS;0;;;;;;;-1.00
14577;UNIFORM RESOURCE LOCATOR;SERVLETS;0;;;;;;;-0.50
14578;USER DATAGRAM PROTOCOL;SERVLETS;0;;;;;;;-0.50
14579;VIRUS;SERVLETS;0;;;;;;;-1.00
14580;VOICE OVER INTERNET PROTOCOL;SERVLETS;0;;;;;;;0.00
14581;WEBSERVER;SERVLETS;0;;;;;;;-0.25
14582;WIDE AREA NETWORK;SERVLETS;0;;;;;;;0.00
14583;WIRELESS NETWORK;SERVLETS;0;;;;;;;0.75
14584;WORLD WIDE WEB;SERVLETS;0;;;;;;;0.00
14585;WORM;SERVLETS;0;;;;;;;-1.00
14586;SECOND GENERATION;SERVLETS;0;;;;;;;-0.25
14587;EMAIL;SERVLETS;0;;;;;;;0.00
14588;CLIENT-SIDE;SERVLETS;0;;;;;;;0.00
14589;SERVER-SIDE;SERVLETS;0;;;;;;;0.00
14590;SERVLET;SERVLETS;0;;;;;;;0.00
14591;WEBSERVERS;SERVLETS;0;;;;;;;-0.25
14592;4G;SERVLETS;0;;;;;;;0.50
14593;ANTIVIRUS SOFTWARE;SERVLETS;0;;;;;;;-1.00
14594;SEARCH ENGINE;SERVLETS;0;;;;;;;1.00
14595;WIFI NETWORK;SERVLETS;0;;;;;;;0.00
14596;1G;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14597;3G;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14598;ACCESS INTERNET SERVICE PROVIDER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14599;ACCESS POINT;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14600;ACTIVE SERVER PAGE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14601;ADDRESSING SYSTEM;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.70
14602;APPLICATION LAYER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14603;AUDITING SOFTWARE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14604;BIT PATTERN;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14605;BODY;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14606;BRIDGE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14607;BROWSER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14608;BUS;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14609;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14610;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14611;CERTIFICATE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14612;CERTIFICATE AUTHORITY;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14613;CLIENT;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14614;CLIENT SIDE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14615;CLIENT/SERVER MODEL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14616;CLOUD COMPUTING;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14617;CLUSTER COMPUTE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14618;COLLISION AVOIDANCE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14619;COLLISION DETECTION;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14620;COMPUTER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14621;COMPUTER SYSTEM;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14622;CONTENT DELIVERY NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14623;DENIAL OF SERVICE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14624;DIGITAL SIGNATURE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14625;DISTRIBUTED SYSTEM;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.50
14626;DOMAIN;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14627;DOMAIN NAME;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14628;DOMAIN NAME SYSTEM;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14629;ENCRYPTION;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14630;END SYSTEM;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14631;END USER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14632;ETHERNET NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.70
14633;EXTENSIBLE MARKUP LANGUAGE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14634;FILE SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14635;FILE TRANSFER PROTOCOL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14636;FIREWALL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14637;FORWARDING TABLE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.10
14638;GATEWAY;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14639;GRID COMPUTE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14640;HEAD;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14641;HIDDEN TERMINAL PROBLEM;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14642;HOP COUNT;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14643;HOT SPOT;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14644;HUB;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14645;HYPERTEXT;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14646;HYPERTEXT DOCUMENT;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14647;HYPERTEXT MARKUP LANGUAGE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14648;HYPERTEXT TRANSFER PROTOCOL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14649;HYPERTEXT TRANSFER PROTOCOL SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14650;INSTANT MESSAGING;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14651;INTERNET;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14652;INTERNET INFRASTRUCTURE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.70
14653;INTERNET MAIL ACCESS PROTOCOL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14654;INTERNET PROTOCOL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14655;INTERNET PROTOCOL ADDRESS;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14656;INTERNET PROTOCOL NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14657;INTERNET SERVICE PROVIDER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14658;INTERNET SOFTWARE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14659;INTERNET2;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14660;INTERPROCESS COMMUNICATION;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14661;INTRANET;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14662;JAVASERVER PAGE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14663;LINK LAYER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14664;LOCAL AREA NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14665;MAGNETIC DISK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14666;MAIL SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14667;MALICIOUS SOFTWARE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14668;MASS STORAGE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.50
14669;METROPOLITAN AREA NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14670;MNEMONIC ADDRESS;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14671;MNEMONIC DOMAIN NAME;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14672;NAME SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14673;NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14674;NETWORK LAYER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14675;NETWORK NEWS TRANSFER PROTOCOL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14676;NETWORK SOFTWARE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14677;OPEN NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14678;PEER-TO-PEER MODEL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14679;PERSONAL AREA NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14680;PHISHING;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14681;PHONE NETWORK;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.50
14682;PHP;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14683;PORT NUMBER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14684;POST OFFICE PROTOCOL VERSION 3;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14685;PRINT SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14686;PRIVATE-KEY;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14687;PROTOCOL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14688;PROXY SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14689;PUBLIC-KEY;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14690;PUBLIC-KEY ENCRYPTION;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14691;REGISTERED DOMAIN;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14692;REMOTE MAIL SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14693;REMOTE SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14694;REPEATER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.25
14695;ROUTER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.70
14696;SECURE SHELL;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14697;SECURE SOCKET LAYER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14698;SERVER;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14699;SERVER SIDE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14700;SERVLETS;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14701;SOFTWARE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14702;SPYWARE;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;-1.00
14703;STAR;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
14704;SUBDOMAINS;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14705;SWITCH;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;1.00
14706;TAG;SIMPLE MAIL TRANSFER PROTOCOL;0;;;;;;;0.00
